level,lessonId,kanjiId,character,missing
N2,1,n2_jlpt_vocab_k006,飽,kVietnamese
N2,2,n2_jlpt_vocab_k009,挙,kVietnamese
N2,2,n2_jlpt_vocab_k010,憧,kVietnamese
N2,2,n2_jlpt_vocab_k015,暖,kVietnamese
N2,2,n2_jlpt_vocab_k016,厚,kVietnamese
N2,3,n2_jlpt_vocab_k017,圧,kVietnamese
N2,3,n2_jlpt_vocab_k018,縮,kVietnamese
N2,3,n2_jlpt_vocab_k022,脂,kVietnamese
N2,3,n2_jlpt_vocab_k023,雨,kVietnamese
N2,3,n2_jlpt_vocab_k024,戸,kVietnamese
N2,4,n2_jlpt_vocab_k030,怪,kVietnamese
N2,5,n2_jlpt_vocab_k033,争,kVietnamese
N2,5,n2_jlpt_vocab_k034,改,kVietnamese
N2,7,n2_jlpt_vocab_k050,児,kVietnamese
N2,7,n2_jlpt_vocab_k051,幾,kVietnamese
N2,7,n2_jlpt_vocab_k054,以,kVietnamese
N2,8,n2_jlpt_vocab_k059,食,kVietnamese
N2,8,n2_jlpt_vocab_k062,悪,kVietnamese
N2,8,n2_jlpt_vocab_k064,応,kVietnamese
N2,9,n2_jlpt_vocab_k068,昨,kVietnamese
N2,9,n2_jlpt_vocab_k071,斉,kVietnamese
N2,10,n2_jlpt_vocab_k075,転,kVietnamese
N2,10,n2_jlpt_vocab_k079,従,kVietnamese
N2,11,n2_jlpt_vocab_k085,煎,kVietnamese
N2,13,n2_jlpt_vocab_k098,薄,kVietnamese
N2,14,n2_jlpt_vocab_k105,写,kVietnamese
N2,14,n2_jlpt_vocab_k109,裏,kVietnamese
N2,15,n2_jlpt_vocab_k114,羨,kVietnamese
N2,15,n2_jlpt_vocab_k115,売,kVietnamese
N2,16,n2_jlpt_vocab_k126,絵,kVietnamese
N2,17,n2_jlpt_vocab_k132,芸,kVietnamese
N2,17,n2_jlpt_vocab_k135,円,kVietnamese
N2,18,n2_jlpt_vocab_k140,煙,kVietnamese
N2,19,n2_jlpt_vocab_k149,対,kVietnamese
N2,19,n2_jlpt_vocab_k151,復,kVietnamese
N2,19,n2_jlpt_vocab_k152,欧,kVietnamese
N2,20,n2_jlpt_vocab_k153,米,kVietnamese
N2,20,n2_jlpt_vocab_k158,帰,kVietnamese
N2,20,n2_jlpt_vocab_k159,拝,kVietnamese
N2,21,n2_jlpt_vocab_k164,仮,kVietnamese
N2,21,n2_jlpt_vocab_k165,怠,kVietnamese
N2,22,n2_jlpt_vocab_k174,父,kVietnamese
N2,23,n2_jlpt_vocab_k179,着,kVietnamese
N2,23,n2_jlpt_vocab_k182,伝,kVietnamese
N2,24,n2_jlpt_vocab_k186,参,kVietnamese
N2,24,n2_jlpt_vocab_k188,込,kVietnamese
N2,24,n2_jlpt_vocab_k192,卸,kVietnamese
N2,25,n2_jlpt_vocab_k194,恵,kVietnamese
N2,25,n2_jlpt_vocab_k198,帯,kVietnamese
N1,1,n1_jlpt_vocab_k004,変,kVietnamese
N1,1,n1_jlpt_vocab_k005,愛,kVietnamese
N1,1,n1_jlpt_vocab_k007,対,kVietnamese
N1,2,n1_jlpt_vocab_k010,憎,kVietnamese
N1,3,n1_jlpt_vocab_k017,亜,kVietnamese
N1,4,n1_jlpt_vocab_k029,諦,kVietnamese
N1,4,n1_jlpt_vocab_k031,悪,kVietnamese
N1,5,n1_jlpt_vocab_k034,憧,kVietnamese
N1,5,n1_jlpt_vocab_k035,顎,kVietnamese
N1,5,n1_jlpt_vocab_k039,寝,kVietnamese
N1,6,n1_jlpt_vocab_k041,浅,kVietnamese
N1,6,n1_jlpt_vocab_k044,笑,kVietnamese
N1,6,n1_jlpt_vocab_k047,焦,kVietnamese
N1,7,n1_jlpt_vocab_k049,処,kVietnamese
N1,7,n1_jlpt_vocab_k052,当,kVietnamese
N1,8,n1_jlpt_vocab_k058,気,kVietnamese
N1,8,n1_jlpt_vocab_k060,圧,kVietnamese
N1,8,n1_jlpt_vocab_k064,誂,kVietnamese
N1,9,n1_jlpt_vocab_k068,継,kVietnamese
N1,9,n1_jlpt_vocab_k072,溢,kVietnamese
N1,10,n1_jlpt_vocab_k074,絵,kVietnamese
N1,10,n1_jlpt_vocab_k075,炙,kVietnamese
N1,10,n1_jlpt_vocab_k077,雨,kVietnamese
N1,11,n1_jlpt_vocab_k082,操,kVietnamese
N1,11,n1_jlpt_vocab_k085,誤,kVietnamese
N1,11,n1_jlpt_vocab_k086,歩,kVietnamese
N1,12,n1_jlpt_vocab_k091,争,kVietnamese
N1,12,n1_jlpt_vocab_k092,改,kVietnamese
N1,13,n1_jlpt_vocab_k097,様,kVietnamese
N1,14,n1_jlpt_vocab_k106,静,kVietnamese
N1,15,n1_jlpt_vocab_k117,訳,kVietnamese
N1,16,n1_jlpt_vocab_k122,何,kVietnamese
N1,16,n1_jlpt_vocab_k127,粋,kVietnamese
N1,17,n1_jlpt_vocab_k131,込,kVietnamese
N1,17,n1_jlpt_vocab_k132,経,kVietnamese
N1,18,n1_jlpt_vocab_k137,異,kVietnamese
N1,18,n1_jlpt_vocab_k140,戦,kVietnamese
N1,18,n1_jlpt_vocab_k142,幾,kVietnamese
N1,19,n1_jlpt_vocab_k148,碑,kVietnamese
N1,19,n1_jlpt_vocab_k150,装,kVietnamese
N1,19,n1_jlpt_vocab_k151,苛,kVietnamese
N1,20,n1_jlpt_vocab_k160,戯,kVietnamese
N1,21,n1_jlpt_vocab_k162,戴,kVietnamese
N1,21,n1_jlpt_vocab_k166,労,kVietnamese
N1,22,n1_jlpt_vocab_k170,概,kVietnamese
N1,22,n1_jlpt_vocab_k176,面,kVietnamese
N1,23,n1_jlpt_vocab_k181,挙,kVietnamese
N1,23,n1_jlpt_vocab_k184,帯,kVietnamese
N1,24,n1_jlpt_vocab_k187,図,kVietnamese
N1,24,n1_jlpt_vocab_k188,営,kVietnamese
N1,24,n1_jlpt_vocab_k192,稲,kVietnamese
N1,25,n1_jlpt_vocab_k195,祈,kVietnamese
N1,25,n1_jlpt_vocab_k196,鼾,kVietnamese
